themenbereich;bezeichnung;url
Bildung und Wissenschaft;Abschlüsse an der Fachhochschule Nordwestschweiz FHNW;https://www.statistik.bs.ch/dam/jcr:f18e6f80-088e-45f1-8554-c645baa9fcf2/t18-2-03.xlsx
Bildung und Wissenschaft;Dozierende an der Universität Basel nach Geschlecht und Status;https://www.statistik.bs.ch/dam/jcr:f18e6f80-088e-45f1-8554-c645baa9fcf2/t18-2-03.xlsx
Bildung und Wissenschaft;Studierende an der Universität Basel nach Fakultät;https://www.statistik.bs.ch/dam/jcr:f18e6f80-088e-45f1-8554-c645baa9fcf2/t18-2-03.xlsx
Bildung und Wissenschaft;Studierende an der Universität Basel nach Heimat;https://www.statistik.bs.ch/dam/jcr:f18e6f80-088e-45f1-8554-c645baa9fcf2/t18-2-03.xlsx
Bildung und Wissenschaft;Neuimmatrikulierte an der Universität Basel nach Heimat;https://www.statistik.bs.ch/dam/jcr:f18e6f80-088e-45f1-8554-c645baa9fcf2/t18-2-03.xlsx
Bildung und Wissenschaft;Studierende an der Universität Basel nach Heimat, Fakultät und Wohnort;https://www.statistik.bs.ch/dam/jcr:f18e6f80-088e-45f1-8554-c645baa9fcf2/t18-2-03.xlsx
Bildung und Wissenschaft;Neuimmatrikulierte an der Universität Basel nach Heimat, Fakultät und Wohnort;https://www.statistik.bs.ch/dam/jcr:f18e6f80-088e-45f1-8554-c645baa9fcf2/t18-2-03.xlsx
Bildung und Wissenschaft;Studierende an der Universität Basel nach Alter, Fakultät und Heimat;https://www.statistik.bs.ch/dam/jcr:f18e6f80-088e-45f1-8554-c645baa9fcf2/t18-2-03.xlsx
Bildung und Wissenschaft;Neuimmatrikulierte an der Universität Basel nach Alter, Fakultät und Heimat;https://www.statistik.bs.ch/dam/jcr:f18e6f80-088e-45f1-8554-c645baa9fcf2/t18-2-03.xlsx
Bildung und Wissenschaft;Wohnbevölkerung nach Geschlecht, Heimat und höchster ausgeschlossener Ausbildung;https://www.statistik.bs.ch/dam/jcr:f18e6f80-088e-45f1-8554-c645baa9fcf2/t18-2-03.xlsx
Bildung und Wissenschaft;Berufsmaturitätsabschlüsse an den Basler Berufsfachschulen;https://www.statistik.bs.ch/dam/jcr:f18e6f80-088e-45f1-8554-c645baa9fcf2/t18-2-03.xlsx
Bildung und Wissenschaft;Maturitätsabschlüsse im Kanton Basel-Stadt;https://www.statistik.bs.ch/dam/jcr:f18e6f80-088e-45f1-8554-c645baa9fcf2/t18-2-03.xlsx
Kultur und Sport;Vorstellungen und Besucher Theater Basel;https://www.statistik.bs.ch/dam/jcr:f18e6f80-088e-45f1-8554-c645baa9fcf2/t18-2-03.xlsx
Kultur und Sport;Bühnen und Basler Kleintheater;https://www.statistik.bs.ch/dam/jcr:f18e6f80-088e-45f1-8554-c645baa9fcf2/t18-2-03.xlsx
Kultur und Sport;Besucher in Basler Kinos;https://www.statistik.bs.ch/dam/jcr:f18e6f80-088e-45f1-8554-c645baa9fcf2/t18-2-03.xlsx
Kultur und Sport;Besucher in Basler Museen;https://www.statistik.bs.ch/dam/jcr:f18e6f80-088e-45f1-8554-c645baa9fcf2/t18-2-03.xlsx
Kultur und Sport;Staatsarchiv und Bibliotheken;https://www.statistik.bs.ch/dam/jcr:f18e6f80-088e-45f1-8554-c645baa9fcf2/t18-2-03.xlsx
Kultur und Sport;Freiwilligenarbeit;https://www.statistik.bs.ch/dam/jcr:f18e6f80-088e-45f1-8554-c645baa9fcf2/t18-2-03.xlsx
Politik;Ständeratswahlen Basel-Stadt;https://www.statistik.bs.ch/dam/jcr:f18e6f80-088e-45f1-8554-c645baa9fcf2/t18-2-03.xlsx
Politik;Proporzwahlen Basel-Stadt;https://www.statistik.bs.ch/dam/jcr:f18e6f80-088e-45f1-8554-c645baa9fcf2/t18-2-03.xlsx
Politik;Parteien, Jungparteien und Listenvereinigungen;https://www.statistik.bs.ch/dam/jcr:f18e6f80-088e-45f1-8554-c645baa9fcf2/t18-2-03.xlsx
Politik;Regierungspräsidiums- und Regierungsratswahlen Basel-Stadt;https://www.statistik.bs.ch/dam/jcr:f18e6f80-088e-45f1-8554-c645baa9fcf2/t18-2-03.xlsx
Politik;Verteilung der Grossratssitze auf die Wahlkreise;https://www.statistik.bs.ch/dam/jcr:f18e6f80-088e-45f1-8554-c645baa9fcf2/t18-2-03.xlsx
Politik;Verfassungsratswahl Kanton Basel-Stadt;https://www.statistik.bs.ch/dam/jcr:f18e6f80-088e-45f1-8554-c645baa9fcf2/t18-2-03.xlsx
Politik;Wahl des Bürgergemeinderates der Stadt Basel;https://www.statistik.bs.ch/dam/jcr:f18e6f80-088e-45f1-8554-c645baa9fcf2/t18-2-03.xlsx
Politik;Nationalratswahlen Basel-Stadt;https://www.statistik.bs.ch/dam/jcr:f18e6f80-088e-45f1-8554-c645baa9fcf2/t18-2-03.xlsx
Politik;Grossratswahlen Basel-Stadt;https://www.statistik.bs.ch/dam/jcr:f18e6f80-088e-45f1-8554-c645baa9fcf2/t18-2-03.xlsx
Politik;Grossratswahlen Basel-Stadt nach Wahlkreis;https://www.statistik.bs.ch/dam/jcr:f18e6f80-088e-45f1-8554-c645baa9fcf2/t18-2-03.xlsx
Politik;Ergebnisse der Eidgenössischen Volksabstimmungen;https://www.statistik.bs.ch/dam/jcr:f18e6f80-088e-45f1-8554-c645baa9fcf2/t18-2-03.xlsx
Politik;Ergebnisse der Kantonalen Volksabstimmungen;https://www.statistik.bs.ch/dam/jcr:f18e6f80-088e-45f1-8554-c645baa9fcf2/t18-2-03.xlsx
Öffentliche Finanzen;Staatseinnahmen nach Funktion;https://www.statistik.bs.ch/dam/jcr:f18e6f80-088e-45f1-8554-c645baa9fcf2/t18-2-03.xlsx
Öffentliche Finanzen;Staatsausgaben nach Sachgruppe und Funktion;https://www.statistik.bs.ch/dam/jcr:f18e6f80-088e-45f1-8554-c645baa9fcf2/t18-2-03.xlsx
Öffentliche Finanzen;Rechnungsergebnisse Bürgergemeinde Basel;https://www.statistik.bs.ch/dam/jcr:f18e6f80-088e-45f1-8554-c645baa9fcf2/t18-2-03.xlsx
Öffentliche Finanzen;Staatsausgaben nach Funktion;https://www.statistik.bs.ch/dam/jcr:f18e6f80-088e-45f1-8554-c645baa9fcf2/t18-2-03.xlsx
Öffentliche Finanzen;Staatseinnahmen nach Sachgruppe und Funktion;https://www.statistik.bs.ch/dam/jcr:f18e6f80-088e-45f1-8554-c645baa9fcf2/t18-2-03.xlsx
Öffentliche Finanzen;Bilanz der Staatsrechnung;https://www.statistik.bs.ch/dam/jcr:f18e6f80-088e-45f1-8554-c645baa9fcf2/t18-2-03.xlsx
Öffentliche Finanzen;Erfolgsrechnung Basel-Stadt;https://www.statistik.bs.ch/dam/jcr:f18e6f80-088e-45f1-8554-c645baa9fcf2/t18-2-03.xlsx
Öffentliche Finanzen;Personalbestand am Jahresende und Personalausgaben der Kantonalen Verwaltung;https://www.statistik.bs.ch/dam/jcr:f18e6f80-088e-45f1-8554-c645baa9fcf2/t18-2-03.xlsx
Öffentliche Finanzen;Personalbestand am Jahresende und Personalausgaben nach Departement;https://www.statistik.bs.ch/dam/jcr:f18e6f80-088e-45f1-8554-c645baa9fcf2/t18-2-03.xlsx
Öffentliche Finanzen;Promilleverteilung des beschäftigten Personals nach Alter und Dienstalter;https://www.statistik.bs.ch/dam/jcr:f18e6f80-088e-45f1-8554-c645baa9fcf2/t18-2-03.xlsx
Öffentliche Finanzen;Einkommenssteuer nach Gemeinde;https://www.statistik.bs.ch/dam/jcr:f18e6f80-088e-45f1-8554-c645baa9fcf2/t18-2-03.xlsx
Öffentliche Finanzen;Reineinkommen und Reinvermögen;https://www.statistik.bs.ch/dam/jcr:f18e6f80-088e-45f1-8554-c645baa9fcf2/t18-2-03.xlsx
Öffentliche Finanzen;Einkommens- und Vermögenssteuer;https://www.statistik.bs.ch/dam/jcr:f18e6f80-088e-45f1-8554-c645baa9fcf2/t18-2-03.xlsx
Öffentliche Finanzen;Einkommen und Einkommenssteuer Riehen;https://www.statistik.bs.ch/dam/jcr:f18e6f80-088e-45f1-8554-c645baa9fcf2/t18-2-03.xlsx
Öffentliche Finanzen;Quellensteuer;https://www.statistik.bs.ch/dam/jcr:f18e6f80-088e-45f1-8554-c645baa9fcf2/t18-2-03.xlsx
Rechtspflege;Polizeiliche Kriminalstatistik;https://www.statistik.bs.ch/dam/jcr:f18e6f80-088e-45f1-8554-c645baa9fcf2/t18-2-03.xlsx
Rechtspflege;Polizeiliche Kriminalstatistik;https://www.statistik.bs.ch/dam/jcr:f18e6f80-088e-45f1-8554-c645baa9fcf2/t18-2-03.xlsx
Rechtspflege;Polizeiliche Kriminalstatistik;https://www.statistik.bs.ch/dam/jcr:f18e6f80-088e-45f1-8554-c645baa9fcf2/t18-2-03.xlsx
Rechtspflege;Polizeiliche Kriminalstatistik;https://www.statistik.bs.ch/dam/jcr:f18e6f80-088e-45f1-8554-c645baa9fcf2/t18-2-03.xlsx
Rechtspflege;Rückweisungen des Grenzwachtkommandos;https://www.statistik.bs.ch/dam/jcr:f18e6f80-088e-45f1-8554-c645baa9fcf2/t18-2-03.xlsx
Rechtspflege;Verkehrs- und sicherheitspolizeiliche Dienstleistungen;https://www.statistik.bs.ch/dam/jcr:f18e6f80-088e-45f1-8554-c645baa9fcf2/t18-2-03.xlsx
Rechtspflege;Ordnungsbussen und Gesetzesübertretungen;https://www.statistik.bs.ch/dam/jcr:f18e6f80-088e-45f1-8554-c645baa9fcf2/t18-2-03.xlsx
Rechtspflege;Inhaftierte und Hafttage;https://www.statistik.bs.ch/dam/jcr:f18e6f80-088e-45f1-8554-c645baa9fcf2/t18-2-03.xlsx
Rechtspflege;Opferhilfeberatung und Genugtuungsleistungen;https://www.statistik.bs.ch/dam/jcr:f18e6f80-088e-45f1-8554-c645baa9fcf2/t18-2-03.xlsx
Rechtspflege;Polizeiliche Kriminalstatistik;https://www.statistik.bs.ch/dam/jcr:f18e6f80-088e-45f1-8554-c645baa9fcf2/t18-2-03.xlsx
Rechtspflege;Rechtsmedizinische Untersuchungen;https://www.statistik.bs.ch/dam/jcr:f18e6f80-088e-45f1-8554-c645baa9fcf2/t18-2-03.xlsx
Rechtspflege;Polizeiliche Kriminalstatistik;https://www.statistik.bs.ch/dam/jcr:f18e6f80-088e-45f1-8554-c645baa9fcf2/t18-2-03.xlsx
Rechtspflege;Verurteilte Erwachsene nach Strafgesetzbuch;https://www.statistik.bs.ch/dam/jcr:f18e6f80-088e-45f1-8554-c645baa9fcf2/t18-2-03.xlsx
Rechtspflege;Verurteilte Erwachsene nach Strassenverkehrsgesetz;https://www.statistik.bs.ch/dam/jcr:f18e6f80-088e-45f1-8554-c645baa9fcf2/t18-2-03.xlsx
Rechtspflege;Verurteilte Erwachsene nach Betäubungsmittelgesetz;https://www.statistik.bs.ch/dam/jcr:f18e6f80-088e-45f1-8554-c645baa9fcf2/t18-2-03.xlsx
Rechtspflege;Polizeiliche Kriminalstatistik;https://www.statistik.bs.ch/dam/jcr:f18e6f80-088e-45f1-8554-c645baa9fcf2/t18-2-03.xlsx
Rechtspflege;Polizeiliche Kriminalstatistik;https://www.statistik.bs.ch/dam/jcr:f18e6f80-088e-45f1-8554-c645baa9fcf2/t18-2-03.xlsx
Rechtspflege;"Rotlichtmilieu; Anzahl Salons und Rotlichtzonen (Blockseite)";https://www.statistik.bs.ch/dam/jcr:f18e6f80-088e-45f1-8554-c645baa9fcf2/t18-2-03.xlsx
Rechtspflege;Kantonale Gerichte;https://www.statistik.bs.ch/dam/jcr:f18e6f80-088e-45f1-8554-c645baa9fcf2/t18-2-03.xlsx
Raum, Landschaft, Umwelt;Bodennutzung;https://www.statistik.bs.ch/dam/jcr:f18e6f80-088e-45f1-8554-c645baa9fcf2/t18-2-03.xlsx
Arbeit und Erwerb;Wohnbevölkerung nach Alter und Arbeitsmarktstatus;https://www.statistik.bs.ch/dam/jcr:f18e6f80-088e-45f1-8554-c645baa9fcf2/t18-2-03.xlsx
Arbeit und Erwerb;Wohnbevölkerung nach Geschlecht, Heimat und Arbeitsmarktstatus;https://www.statistik.bs.ch/dam/jcr:f18e6f80-088e-45f1-8554-c645baa9fcf2/t18-2-03.xlsx
Arbeit und Erwerb;Wohnbevölkerung nach Ausbildungsniveau und Arbeitsmarktstatus;https://www.statistik.bs.ch/dam/jcr:f18e6f80-088e-45f1-8554-c645baa9fcf2/t18-2-03.xlsx
Arbeit und Erwerb;Wohnbevölkerung nach Geschlecht, Heimat und Erwerbsstatus;https://www.statistik.bs.ch/dam/jcr:f18e6f80-088e-45f1-8554-c645baa9fcf2/t18-2-03.xlsx
Arbeit und Erwerb;Wohnbevölkerung nach Geschlecht, Heimat und Arbeitspensum;https://www.statistik.bs.ch/dam/jcr:f18e6f80-088e-45f1-8554-c645baa9fcf2/t18-2-03.xlsx
Arbeit und Erwerb;Wohnbevölkerung nach Alter und Arbeitspensum;https://www.statistik.bs.ch/dam/jcr:f18e6f80-088e-45f1-8554-c645baa9fcf2/t18-2-03.xlsx
Arbeit und Erwerb;Wohnbevölkerung nach Ausbildungsniveau und Arbeitspensum;https://www.statistik.bs.ch/dam/jcr:f18e6f80-088e-45f1-8554-c645baa9fcf2/t18-2-03.xlsx
Arbeit und Erwerb;Wohnbevölkerung nach Geschlecht, Heimat und Wirtschaftszweig;https://www.statistik.bs.ch/dam/jcr:f18e6f80-088e-45f1-8554-c645baa9fcf2/t18-2-03.xlsx
Arbeit und Erwerb;Wohnbevölkerung nach Alter und Wirtschaftszweig;https://www.statistik.bs.ch/dam/jcr:f18e6f80-088e-45f1-8554-c645baa9fcf2/t18-2-03.xlsx
Arbeit und Erwerb;Wohnbevölkerung nach Ausbildungsniveau und Wirtschaftszweig;https://www.statistik.bs.ch/dam/jcr:f18e6f80-088e-45f1-8554-c645baa9fcf2/t18-2-03.xlsx
Arbeit und Erwerb;Wohnbevölkerung nach Geschlecht, Heimat und Berufsgruppe;https://www.statistik.bs.ch/dam/jcr:f18e6f80-088e-45f1-8554-c645baa9fcf2/t18-2-03.xlsx
Arbeit und Erwerb;Nettoerwerbsquote nach Geschlecht, Heimat, Alter und Ausbildungsniveau;https://www.statistik.bs.ch/dam/jcr:f18e6f80-088e-45f1-8554-c645baa9fcf2/t18-2-03.xlsx
Arbeit und Erwerb;Erwerbslosenquote nach Geschlecht, Heimat, Alter und Ausbildungsniveau;https://www.statistik.bs.ch/dam/jcr:f18e6f80-088e-45f1-8554-c645baa9fcf2/t18-2-03.xlsx
Arbeit und Erwerb;Erwerbstätige nach Geschlecht, Heimat und wöchentlicher Arbeitszeit;https://www.statistik.bs.ch/dam/jcr:f18e6f80-088e-45f1-8554-c645baa9fcf2/t18-2-03.xlsx
Arbeit und Erwerb;Erwerbstätige nach Geschlecht, Heimat und Häufigkeit von Wochenendarbeit;https://www.statistik.bs.ch/dam/jcr:f18e6f80-088e-45f1-8554-c645baa9fcf2/t18-2-03.xlsx
Arbeit und Erwerb;Erwerbstätige nach Geschlecht, Heimat und Häufigkeit von Abend-/Nachtarbeit;https://www.statistik.bs.ch/dam/jcr:f18e6f80-088e-45f1-8554-c645baa9fcf2/t18-2-03.xlsx
Arbeit und Erwerb;Erwerbstätige nach Geschlecht, Heimat und Stundenlohn;https://www.statistik.bs.ch/dam/jcr:f18e6f80-088e-45f1-8554-c645baa9fcf2/t18-2-03.xlsx
Arbeit und Erwerb;Erwerbstätige in der Nordwestschweiz nach Geschlecht und Wirtschaftssektoren;https://www.statistik.bs.ch/dam/jcr:f18e6f80-088e-45f1-8554-c645baa9fcf2/t18-2-03.xlsx
Arbeit und Erwerb;Vollzeitäquivalente nach Geschlecht und Branche;https://www.statistik.bs.ch/dam/jcr:f18e6f80-088e-45f1-8554-c645baa9fcf2/t18-2-03.xlsx
Arbeit und Erwerb;Vollzeitäquivalente nach Grösse der Arbeitsstätte und Branche;https://www.statistik.bs.ch/dam/jcr:f18e6f80-088e-45f1-8554-c645baa9fcf2/t18-2-03.xlsx
Arbeit und Erwerb;Arbeitsstätten nach Wohnviertel und Branche;https://www.statistik.bs.ch/dam/jcr:f18e6f80-088e-45f1-8554-c645baa9fcf2/t18-2-03.xlsx
Arbeit und Erwerb;Arbeitsstätten nach Grösse und Branche;https://www.statistik.bs.ch/dam/jcr:f18e6f80-088e-45f1-8554-c645baa9fcf2/t18-2-03.xlsx
Arbeit und Erwerb;Beschäftigte in der Nordwestschweiz nach Sektor und Geschlecht;https://www.statistik.bs.ch/dam/jcr:f18e6f80-088e-45f1-8554-c645baa9fcf2/t18-2-03.xlsx
Arbeit und Erwerb;Grenzgänger nach Geschlecht und Wohnsitzstaat;https://www.statistik.bs.ch/dam/jcr:f18e6f80-088e-45f1-8554-c645baa9fcf2/t18-2-03.xlsx
Arbeit und Erwerb;Basler Index der Konsumentenpreise;https://www.statistik.bs.ch/dam/jcr:f18e6f80-088e-45f1-8554-c645baa9fcf2/t18-2-03.xlsx
Arbeit und Erwerb;Basler Index der Konsumentenpreise;https://www.statistik.bs.ch/dam/jcr:f18e6f80-088e-45f1-8554-c645baa9fcf2/t18-2-03.xlsx
Arbeit und Erwerb;Basler Index der Konsumentenpreise;https://www.statistik.bs.ch/dam/jcr:f18e6f80-088e-45f1-8554-c645baa9fcf2/t18-2-03.xlsx
Arbeit und Erwerb;Wohnbevölkerung nach Geschlecht, Heimat und Arbeitsmarktstatus;https://www.statistik.bs.ch/dam/jcr:f18e6f80-088e-45f1-8554-c645baa9fcf2/t18-2-03.xlsx
Arbeit und Erwerb;Erwerbstätige nach Geschlecht, Heimat und Arbeitspensum;https://www.statistik.bs.ch/dam/jcr:f18e6f80-088e-45f1-8554-c645baa9fcf2/t18-2-03.xlsx
Arbeit und Erwerb;Erwerbstätige nach Geschlecht, Heimat und Vertragstyp;https://www.statistik.bs.ch/dam/jcr:f18e6f80-088e-45f1-8554-c645baa9fcf2/t18-2-03.xlsx
Arbeit und Erwerb;Erwerbstätige nach Geschlecht, Heimat und Betriebszugehörigkeitsdauer;https://www.statistik.bs.ch/dam/jcr:f18e6f80-088e-45f1-8554-c645baa9fcf2/t18-2-03.xlsx
Arbeit und Erwerb;Beschäftigte nach Grösse der Arbeitsstätte und Branche;https://www.statistik.bs.ch/dam/jcr:f18e6f80-088e-45f1-8554-c645baa9fcf2/t18-2-03.xlsx
Arbeit und Erwerb;Beschäftigte nach Wohnviertel;https://www.statistik.bs.ch/dam/jcr:f18e6f80-088e-45f1-8554-c645baa9fcf2/t18-2-03.xlsx
Preise;Hauptgruppen und frühere Basen des Basler Index der Konsumentenpreise;https://www.statistik.bs.ch/dam/jcr:f18e6f80-088e-45f1-8554-c645baa9fcf2/t18-2-03.xlsx
Preise;Basler Index der Konsumentenpreise nach Hauptgruppe;https://www.statistik.bs.ch/dam/jcr:f18e6f80-088e-45f1-8554-c645baa9fcf2/t18-2-03.xlsx
Preise;Gewicht und Jahresmittel des Basler Index der Konsumentenpreise;https://www.statistik.bs.ch/dam/jcr:f18e6f80-088e-45f1-8554-c645baa9fcf2/t18-2-03.xlsx
Preise;Jahresteuerung und Monatsteuerung des Basler Index der Konsumentenpreise;https://www.statistik.bs.ch/dam/jcr:f18e6f80-088e-45f1-8554-c645baa9fcf2/t18-2-03.xlsx
Preise;Basler Heizölpreise in Franken;https://www.statistik.bs.ch/dam/jcr:f18e6f80-088e-45f1-8554-c645baa9fcf2/t18-2-03.xlsx
Preise;Basler Index der Konsumentenpreise;https://www.statistik.bs.ch/dam/jcr:f18e6f80-088e-45f1-8554-c645baa9fcf2/t18-2-03.xlsx
Preise;Basler Index der Konsumentenpreise nach Hauptgruppen;https://www.statistik.bs.ch/dam/jcr:f18e6f80-088e-45f1-8554-c645baa9fcf2/t18-2-03.xlsx
Preise;Mittlere Detailhandelspreise in Franken;https://www.statistik.bs.ch/dam/jcr:f18e6f80-088e-45f1-8554-c645baa9fcf2/t18-2-03.xlsx
Preise;Basler Index der Konsumentenpreise Warenkorbstruktur;https://www.statistik.bs.ch/dam/jcr:f18e6f80-088e-45f1-8554-c645baa9fcf2/t18-2-03.xlsx
Preise;Basler Index der Konsumentenpreise Güterart, Herkunft und Sondergruppen;https://www.statistik.bs.ch/dam/jcr:f18e6f80-088e-45f1-8554-c645baa9fcf2/t18-2-03.xlsx
Industrie und Dienstleistungen;Aussteller, Flächen und Besucher der Muba;https://www.statistik.bs.ch/dam/jcr:f18e6f80-088e-45f1-8554-c645baa9fcf2/t18-2-03.xlsx
Industrie und Dienstleistungen;Holz;https://www.statistik.bs.ch/dam/jcr:f18e6f80-088e-45f1-8554-c645baa9fcf2/t18-2-03.xlsx
Industrie und Dienstleistungen;ILMAC;https://www.statistik.bs.ch/dam/jcr:f18e6f80-088e-45f1-8554-c645baa9fcf2/t18-2-03.xlsx
Industrie und Dienstleistungen;Messen in der Stadt Basel;https://www.statistik.bs.ch/dam/jcr:f18e6f80-088e-45f1-8554-c645baa9fcf2/t18-2-03.xlsx
Industrie und Dienstleistungen;Ausfuhr aus Basel-Stadt nach Gewicht und Wert;https://www.statistik.bs.ch/dam/jcr:f18e6f80-088e-45f1-8554-c645baa9fcf2/t18-2-03.xlsx
Industrie und Dienstleistungen;Einfuhr nach Basel-Stadt nach Gewicht und Wert;https://www.statistik.bs.ch/dam/jcr:f18e6f80-088e-45f1-8554-c645baa9fcf2/t18-2-03.xlsx
Industrie und Dienstleistungen;Baselworld. Weltmesse für Uhren und Schmuck ;https://www.statistik.bs.ch/dam/jcr:f18e6f80-088e-45f1-8554-c645baa9fcf2/t18-2-03.xlsx
Industrie und Dienstleistungen;Beschäftigte in neuen Unternehmen nach Rechtsform;https://www.statistik.bs.ch/dam/jcr:f18e6f80-088e-45f1-8554-c645baa9fcf2/t18-2-03.xlsx
Industrie und Dienstleistungen;Konkurse und Forderungen;https://www.statistik.bs.ch/dam/jcr:f18e6f80-088e-45f1-8554-c645baa9fcf2/t18-2-03.xlsx
Industrie und Dienstleistungen;Betreibungen und Pfändungen;https://www.statistik.bs.ch/dam/jcr:f18e6f80-088e-45f1-8554-c645baa9fcf2/t18-2-03.xlsx
Industrie und Dienstleistungen;Transit (Ein- und Ausgang) durch die Region Basel in Brutto-Tonnen;https://www.statistik.bs.ch/dam/jcr:f18e6f80-088e-45f1-8554-c645baa9fcf2/t18-2-03.xlsx
Industrie und Dienstleistungen;Ausfuhr aus Basel-Stadt in Netto-Tonnen nach Verkehrsträger;https://www.statistik.bs.ch/dam/jcr:f18e6f80-088e-45f1-8554-c645baa9fcf2/t18-2-03.xlsx
Industrie und Dienstleistungen;Ausfuhr aus Basel-Stadt in Franken nach Verkehrsträger;https://www.statistik.bs.ch/dam/jcr:f18e6f80-088e-45f1-8554-c645baa9fcf2/t18-2-03.xlsx
Energie;Brutto- und Endenergieverbrauch nach Energieträger;https://www.statistik.bs.ch/dam/jcr:f18e6f80-088e-45f1-8554-c645baa9fcf2/t18-2-03.xlsx
Energie;Strombilanz;https://www.statistik.bs.ch/dam/jcr:f18e6f80-088e-45f1-8554-c645baa9fcf2/t18-2-03.xlsx
Energie;Fernwärmebilanz;https://www.statistik.bs.ch/dam/jcr:f18e6f80-088e-45f1-8554-c645baa9fcf2/t18-2-03.xlsx
Energie;Anteil erneuerbare Energie am Bruttoenergieverbrauch;https://www.statistik.bs.ch/dam/jcr:f18e6f80-088e-45f1-8554-c645baa9fcf2/t18-2-03.xlsx
